PNR Number: 22517_2022-11-01_0_1_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

hDeVtLvlW                   				SL1				1				LB
ZlmAvzfsppsFR               				SL1				2				MB
p                           				SL1				3				UB




PNR Number: 22517_2022-11-01_0_1_4				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

SYa                         				SL1				4				LB
zcpuxW                      				SL1				5				MB
bgseZoMGqmltvV              				SL1				6				UB
WohvFfXpNgzvH               				SL1				7				SL




PNR Number: 22517_2022-11-01_1_3_15				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

GXWh                        				AC3				15				UB
ypLLKIlqOQGiLN              				AC3				16				UB
LmJaQAwahH                  				AC3				17				SL




PNR Number: 22517_2022-11-01_0_2_6				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

cCSwssNSflIUJXx             				SL2				6				UB
SLkGJewhdRPe                				SL2				7				SL
BjFUz                       				SL2				8				SU




PNR Number: 22517_2022-11-01_1_3_18				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

HawbtzdZAZI                 				AC3				18				SU
doGFAr                      				AC4				1				LB
HuWV                        				AC4				2				LB
badUYYTdMevz                				AC4				3				UB
MvrcCWi                     				AC4				4				UB
wo                          				AC4				5				SL
zXZI                        				AC4				6				SU
OPO                         				AC4				7				LB
DqsvLwfiGIpAXNA             				AC4				8				LB
HtLpQcQzEoeZD               				AC4				9				UB
wyxeHpJRZCLlog              				AC4				10				UB
zs                          				AC4				11				SL
NuEJVLmArdCTLtH             				AC4				12				SU
uReqclr                     				AC4				13				LB
vud                         				AC4				14				LB
PrLLhYaWce                  				AC4				15				UB
ET                          				AC4				16				UB
bRM                         				AC4				17				SL
eNaD                        				AC4				18				SU
jWzfmaDJoNTrOmwS            				AC5				1				LB
YcLYCDyzEAlv                				AC5				2				LB
bbXVRqLltQmgWDI             				AC5				3				UB
eDZHNVUf                    				AC5				4				UB
AgMGqKUnfInvn               				AC5				5				SL
sDPQAGXL                    				AC5				6				SU
sgRAYXW                     				AC5				7				LB
JwwhmHCpBD                  				AC5				8				LB
MduqQU                      				AC5				9				UB
dVNXyETgMIwCu               				AC5				10				UB
ilbMvYKgJbA                 				AC5				11				SL
gSEJhLNHskgYaNHz            				AC5				12				SU
zxbJJGANm                   				AC5				13				LB
z                           				AC5				14				LB
WIQloKz                     				AC5				15				UB
vcOXwxQlfhrV                				AC5				16				UB
EOVfxkFgypUY                				AC5				17				SL
BCAVVnIbSKnrXba             				AC5				18				SU




