PNR Number: 4652_20221101_1_2889_18				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

JHRXXG                      				AC2889				18				UB
l                           				AC2890				1				UB
NHleaZnAW                   				AC2890				2				SL
vGWTwDpRPVpU                				AC2890				3				SU
rtetBNGZgfC                 				AC2890				4				LB
IhXbdduHIqMm                				AC2890				5				LB
LbuSLaGfVVXyaIT             				AC2890				6				UB
HjiYhUtLCaSsMF              				AC2890				7				UB
mkoKRKnEJC                  				AC2890				8				SL
d                           				AC2890				9				SU
EWdxLPiiJgQwi               				AC2890				10				LB
bgyGPoikJObDZI              				AC2890				11				LB
CKAPGExJXAax                				AC2890				12				UB
l                           				AC2890				13				UB
VQxEMvO                     				AC2890				14				SL
Ka                          				AC2890				15				SU
guAbGCIFWjKgIR              				AC2890				16				LB




PNR Number: 22517_20221101_1_2841_12				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

JlQADxLIlPKla               				AC2841				12				UB
qEVUD                       				AC2841				13				UB
VgRaL                       				AC2841				14				SL
XEHxwrputDkDRfIg            				AC2841				15				SU
ksJyculjDdvK                				AC2841				16				LB
zUe                         				AC2841				17				LB
LeUduVdDGuyeKe              				AC2841				18				UB
THzeQNu                     				AC2842				1				UB
QEmoFZNRWPs                 				AC2842				2				SL
X                           				AC2842				3				SU
k                           				AC2842				4				LB
ZO                          				AC2842				5				LB
BrnbBR                      				AC2842				6				UB
ntuPObaECCiLQqn             				AC2842				7				UB
ZTRwkaiS                    				AC2842				8				SL
rXEBelYzfEpPr               				AC2842				9				SU
TDa                         				AC2842				10				LB
KrEeIMFwVlh                 				AC2842				11				LB
IErWIudk                    				AC2842				12				UB
dSHItGbnacR                 				AC2842				13				UB




PNR Number: 22517_20221101_1_2847_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

YYhdPLHkTs                  				AC2847				7				UB
VFQTaFzqP                   				AC2847				8				SL
LGtMlG                      				AC2847				9				SU
TYCDAIUVUixVaRnm            				AC2847				10				LB
fewgFiPal                   				AC2847				11				LB
qSjWTVGIcbnIjgaM            				AC2847				12				UB
TVxvwOrHDXt                 				AC2847				13				UB
XaI                         				AC2847				14				SL
kQgYaN                      				AC2847				15				SU
RSrcpiNqIVdGRA              				AC2847				16				LB
UNHzsPBfcgOufBR             				AC2847				17				LB
twqoMliDRlULX               				AC2847				18				UB
bPdhqoiGOkWGnHfb            				AC2848				1				UB
lBxxdugDIPgLPSW             				AC2848				2				SL
jpmIyzGrwLgKBIX             				AC2848				3				SU
sU                          				AC2848				4				LB
gHIBTGZiEnIB                				AC2848				5				LB
ryXuepycbPGGTpjc            				AC2848				6				UB
yDv                         				AC2848				7				UB
QPJTqVwxwfKdX               				AC2848				8				SL
ybK                         				AC2848				9				SU




PNR Number: 4652_20221101_1_2969_5				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

mm                          				AC2969				5				LB
NdYXQHRjPn                  				AC2969				6				UB
euFfkf                      				AC2969				7				UB
gQsP                        				AC2969				8				SL
cQCUFCZazEctLevh            				AC2969				9				SU
Yphb                        				AC2969				10				LB
r                           				AC2969				11				LB
rd                          				AC2969				12				UB
OHKZDhtOVsb                 				AC2969				13				UB
uxeuQRARgoh                 				AC2969				14				SL
EwCIEdN                     				AC2969				15				SU
i                           				AC2969				16				LB
pAPZgLu                     				AC2969				17				LB
uzlhz                       				AC2969				18				UB
hZFjHubiM                   				AC2970				1				UB
hWULJzzkzMP                 				AC2970				2				SL
QGCfDMjK                    				AC2970				3				SU
fluQOMfSn                   				AC2970				4				LB
vTydlkAliJmODDTP            				AC2970				5				LB
Sn                          				AC2970				6				UB
PwRxkWbhhK                  				AC2970				7				UB
f                           				AC2970				8				SL
qZczlFE                     				AC2970				9				SU
qvBGvCWqtX                  				AC2970				10				LB
dkWhvlxY                    				AC2970				11				LB
eoFZtGTrL                   				AC2970				12				UB
rJA                         				AC2970				13				UB
FQS                         				AC2970				14				SL
OeDXXPa                     				AC2970				15				SU
vKTeVkcsiZJRpGTZ            				AC2970				16				LB




PNR Number: 4652_20221101_0_2085_9				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

lONscubt                    				SL2085				9				LB
wzRzYebgtr                  				SL2085				10				MB
nnAHig                      				SL2085				11				UB
jCVQbssoZrABWzMB            				SL2085				12				LB




PNR Number: 22517_20221101_1_2942_9				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

Q                           				AC2942				9				SU
vaYscRDabpPu                				AC2942				10				LB




PNR Number: 4652_20221101_1_3096_14				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ABxX                        				AC3096				14				SL
